magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami
6.5,4.0,,651.0,0.0,15.394,31.0,10.0,0.8696,,2020.0,8.0,0
6.9,4.0,3.0,749.0,0.0,,20.0,,-6.6704,123.493,2020.0,8.0,0
6.9,4.0,4.0,,,1.716,25.0,26.0,-4.2791,101.215,2020.0,8.0,0
6.8,5.0,4.0,716.0,0.0,1.816,34.0,22.0,,101.095,2020.0,8.0,0
6.6,9.0,8.0,784.0,0.0,5.128,14.0,10.0,12.0065,124.13,2020.0,8.0,1
7.8,9.0,,1111.0,0.0,0.621,60.0,28.0,,-158.477,2020.0,7.0,1
7.0,6.0,7.0,820.0,0.0,1.671,18.0,73.0,-7.847,147.755,2020.0,7.0,1
6.6,4.0,2.0,684.0,0.0,1.458,14.0,533.76,-5.6368,110.678,2020.0,7.0,0
7.4,8.0,8.0,1494.0,0.0,0.151,30.0,20.0,15.9163,-95.9533,2020.0,6.0,1
7.4,7.0,7.0,,0.0,,23.0,10.0,-33.2938,-177.838,2020.0,6.0,1
6.6,5.0,4.0,734.0,0.0,2.015,18.0,165.0,28.9386,128.262,,6.0,1
6.8,6.0,6.0,835.0,0.0,1.164,21.0,112.0,-23.2966,-68.4204,2020.0,6.0,1
6.5,7.0,8.0,1320.0,27.0,0.357,55.79,2.7,38.1689,-117.85,2020.0,5.0,0
6.6,4.0,6.0,671.0,0.0,3.403,12.0,107.0,-12.0662,166.648,2020.0,5.0,1
6.8,4.0,6.0,738.0,0.0,1.921,16.0,96.0,-6.7762,129.785,2020.0,5.0,0
,7.0,6.0,678.0,0.0,,19.0,10.0,34.1818,25.7101,2020.0,5.0,0
6.5,8.0,8.0,1410.0,0.0,0.885,31.0,12.06,44.4646,-115.118,2020.0,3.0,0
7.5,6.0,5.0,879.0,0.0,4.109,12.0,57.8,48.9638,157.695,2020.0,3.0,1
7.0,5.0,6.0,770.0,0.0,4.501,25.0,143.0,45.6161,148.959,2020.0,2.0,1
7.7,9.0,6.0,1812.0,0.0,,26.0,,19.4193,-78.756,2020.0,1.0,1
6.7,8.0,9.0,1247.0,0.0,0.87,49.0,10.0,38.4312,39.0609,2020.0,1.0,0
6.8,9.0,7.0,825.0,0.0,0.546,39.0,18.0,6.6969,125.174,2019.0,12.0,1
7.1,6.0,6.0,799.0,0.0,1.271,11.0,33.0,1.6213,126.416,2019.0,11.0,1
6.5,0.0,2.0,650.0,,4.765,25.0,577.0,-21.9449,-179.511,2019.0,11.0,0
6.6,4.0,4.0,673.0,0.0,5.086,48.0,10.0,-18.5747,-175.272,2019.0,11.0,1
6.5,9.0,7.0,733.0,0.0,0.428,19.0,10.0,6.9098,125.178,2019.0,10.0,1
6.6,9.0,7.0,780.0,0.0,0.646,24.0,15.0,6.7567,125.008,2019.0,10.0,1
6.7,7.0,6.0,844.0,0.0,1.269,98.0,11.0,-35.4758,-73.163,2019.0,,1
6.5,7.0,7.0,,0.0,3.909,15.0,12.26,-3.4528,128.37,2019.0,9.0,1
6.6,2.0,3.0,671.0,0.0,4.121,19.0,591.0,-20.3641,-178.57,2019.0,9.0,1
6.6,0.0,4.0,670.0,0.0,12.896,19.0,16.0,-60.2152,,2019.0,8.0,1
6.9,4.0,6.0,875.0,0.0,2.839,23.0,49.0,-7.2822,104.791,2019.0,8.0,0
6.8,6.0,6.0,947.0,0.0,0.817,35.0,25.0,-34.2364,-72.3102,2019.0,8.0,1
6.6,0.0,4.0,670.0,0.0,6.024,30.0,181.0,-16.1985,167.998,2019.0,7.0,1
7.2,7.0,7.0,809.0,0.0,1.504,38.0,18.98,-0.5858,128.034,2019.0,7.0,1
6.6,5.0,5.0,791.0,0.0,2.978,32.0,10.0,-18.2242,120.358,2019.0,7.0,0
6.9,,5.0,747.0,0.0,1.205,21.0,35.0,0.5126,126.189,2019.0,7.0,0
7.1,9.0,9.0,1646.0,77.0,0.04616,43.0,8.0,35.7695,-117.599,2019.0,7.0,0
7.3,4.0,6.0,,0.0,2.629,16.0,212.0,,129.169,,6.0,1
7.3,8.0,6.0,830.0,0.0,1.402,11.0,46.0,-30.6441,-178.1,2019.0,6.0,1
6.6,7.0,6.0,886.0,0.0,1.193,22.0,57.92,13.1994,-89.3056,2019.0,5.0,1
8.0,9.0,8.0,1890.0,0.0,3.18,17.0,122.57,-5.8119,-75.2697,2019.0,5.0,1
7.6,7.0,7.0,,0.0,0.453,16.0,10.0,-4.051,152.597,2019.0,5.0,1
7.1,7.0,6.0,826.0,0.0,2.514,16.0,146.0,-6.9746,146.449,2019.0,5.0,1
6.8,5.0,6.0,,0.0,0.791,28.0,15.46,-1.8146,122.58,2019.0,4.0,1
6.5,0.0,5.0,650.0,0.0,7.568,18.0,,-58.6262,-25.304,2019.0,4.0,1
7.0,7.0,4.0,869.0,0.0,2.501,42.0,267.0,-14.7131,-70.1546,2019.0,3.0,1
7.5,7.0,7.0,1145.0,0.0,2.045,15.0,145.0,-2.1862,-77.0505,2019.0,,1
6.7,6.0,6.0,909.0,0.0,0.289,43.0,66.0,14.6802,,2019.0,2.0,1
6.7,0.0,3.0,691.0,0.0,7.527,17.0,13.0,-43.1219,42.3568,2019.0,1.0,0
6.7,8.0,8.0,1600.0,0.0,0.173,22.0,63.0,-30.0404,-71.3815,2019.0,1.0,1
6.6,5.0,4.0,671.0,0.0,7.818,18.0,35.0,-13.336,166.875,,1.0,1
6.6,2.0,4.0,672.0,0.0,1.596,33.0,43.21,2.258,126.758,2019.0,1.0,1
6.8,3.0,3.0,715.0,0.0,,16.0,570.41,-8.144,-71.587,2019.0,,0
7.0,,5.0,803.0,0.0,1.769,21.0,60.21,5.8983,126.921,2018.0,12.0,1
7.3,3.0,7.0,822.0,0.0,4.126,23.0,16.56,55.0999,164.699,2018.0,12.0,1
7.1,0.0,5.0,776.0,0.0,7.043,20.0,133.0,-58.5446,-26.3856,2018.0,12.0,1
6.6,0.0,4.0,670.0,0.0,2.679,31.0,10.0,-22.0629,169.733,,12.0,1
7.5,3.0,6.0,871.0,0.0,2.405,18.0,10.0,-21.9496,169.427,,12.0,1
7.1,8.0,8.0,1790.0,0.0,0.0,0.0,46.7,61.3464,-149.955,2018.0,11.0,1
6.8,0.0,3.0,711.0,0.0,2.879,39.0,540.0,-17.8735,-178.927,2018.0,,1
6.7,3.0,4.0,693.0,0.0,7.853,19.0,10.0,71.6312,-11.2431,2018.0,11.0,1
